Date (2005),City,Country,Venue
15 June,Hamburg,Germany,Volks Park
17 June,Cologne,Germany,Fühlinger
19 June,Berlin,Germany,Parkbühne Wuhlheide
22 June,Dublin,Ireland,Marlay Park
25 June[b],Pilton,England,Worthy Farm
27 June,London,England,Crystal Palace National Sports Centre
28 June,London,England,Crystal Palace National Sports Centre
1 July,Glasgow,Scotland,Bellahouston Park
2 July,Glasgow,Scotland,Bellahouston Park
4 July,Horwich,England,Reebok Stadium
5 July,Horwich,England,Reebok Stadium
7 July,Arnhem,Netherlands,GelreDome
9 July,Munich,Germany,Coubertin Platz
10 July[c],Mank,Austria,Festivalgelände Pielachtal
11 July,Verona,Italy,Verona Arena
13 July[d],Locarno,Switzerland,Piazza Grande
14 July[e],Six-Fours-les-Plages,France,Île Gaou
29 July[f],Yuzawa,Japan,Naeba Ski Resort
2 August,Toronto,Canada,Air Canada Centre
3 August,Montreal,Canada,Bell Centre
4 August,Hartford,United States,New England Dodge Music Center
6 August,Mansfield,United States,Tweeter Center for the Performing Arts
7 August,Camden,United States,Tweeter Center at the Waterfront
9 August,Cincinnati,United States,Riverbend Music Center
11 August,Burgettstown,United States,Post-Gazette Pavilion
12 August,Noblesville,United States,Verizon Wireless Music Center
13 August,East Troy,United States,Alpine Valley Music Theatre
16 August,Auburn,United States,White River Amphitheatre
17 August,Ridgefield,United States,The Amphitheater at Clark County
19 August,Mountain View,United States,Shoreline Amphitheatre
20 August,Irvine,United States,Verizon Wireless Amphitheatre
21 August,Irvine,United States,Verizon Wireless Amphitheatre
24 August,Albuquerque,United States,Journal Pavilion
25 August,Phoenix,United States,Cricket Pavilion
26 August,Chula Vista,United States,Cricket Wireless Amphitheatre
30 August,Clarkston,United States,DTE Energy Music Theatre
31 August,Columbus,United States,Germain Amphitheater
1 September[g],Darien,United States,Darien Lake Performing Arts Center
3 September,Holmdel,United States,PNC Bank Arts Center
6 September,New York City,United States,Madison Square Garden
7 September,New York City,United States,Madison Square Garden
9 September,Charlotte,United States,Verizon Wireless Amphitheatre
10 September,Raleigh,United States,Alltel Pavilion
13 September,West Palm Beach,United States,Sound Advice Amphitheatre
17 September,Maryland Heights,United States,UMB Bank Pavilion
18 September,Nashville,United States,Starwood Amphitheatre
20 September,Minneapolis,United States,Target Center
21 September,Bonner Springs,United States,Sandstone Amphitheater
23 September,Dallas,United States,Smirnoff Music Center
25 September[h],Austin,United States,Zilker Park
28 September,Atlanta,United States,Philips Arena
29 September,Virginia Beach,United States,Verizon Wireless Amphitheater
30 September,Bristow,United States,Nissan Pavilion
26 October,Antwerp,Belgium,Sportpaleis
28 October,Oberhausen,Germany,Arena Oberhausen
30 October,Copenhagen,Denmark,Forum Copenhagen
31 October,Oslo,Norway,Oslo Spektrum
7 November,Stockholm,Sweden,Stockholm Globe Arena
9 November,Leipzig,Germany,Arena Leipzig
10 November,Mannheim,Germany,SAP Arena
12 November,Zürich,Switzerland,Hallenstadion
14 November,Assago,Italy,FilaForum
15 November,Bologna,Italy,PalaMalaguti
17 November,Marseille,France,Le Dôme de Marseille
18 November,Toulouse,France,Zénith de Toulouse
20 November,Barcelona,Spain,Palau Sant Jordi
22 November,Madrid,Spain,Palacio de Deportes
23 November,Lisbon,Portugal,Pavilhão Atlântico
25 November,San Sebastián,Spain,Velódromo de Anoeta
28 November,Lyon,France,Halle Tony Garnier
29 November,Paris,France,Palais Omnisports de Paris-Bercy
30 November,Antwerp,Belgium,Sportpaleis
14 December,London,England,Earls Court Exhibition Centre
15 December,London,England,Earls Court Exhibition Centre
16 December,London,England,Earls Court Exhibition Centre
18 December,Newcastle,England,Telewest Arena
19 December,Manchester,England,Manchester Evening News Arena
21 December,Belfast,Northern Ireland,Odyssey Centre
